LGA,Year,Portion Bullied,Total Students,Portion Connected,Area Type
Alpine,2006,30,307,50.2,Regional
Ararat,2006,35.6,281,50.9,Regional
Ballarat,2006,33.9,1672,52.6,Regional
Banyule,2006,30,2823,58.8,Metropolitan
Bass Coast,2006,28,489,57.1,Regional
Baw Baw,2006,39.4,1138,56.3,Regional
Bayside,2006,29.3,882,57.4,Metropolitan
Benalla,2006,30.5,380,48.9,Regional
Boroondara,2006,26.8,2310,62.9,Metropolitan
Brimbank,2006,29.5,3583,56,Metropolitan
Buloke,2006,26.1,306,63.7,Regional
Campaspe,2006,32.6,1245,54.9,Regional
Cardinia,2006,33.4,1378,47,Metropolitan
Casey,2006,31.8,5025,46.3,Metropolitan
Central Goldfields,2006,35.4,342,46.8,Regional
Colac Otway,2006,38,529,53.7,Regional
Corangamite,2006,16.9,534,72.5,Regional
Darebin,2006,28.3,1680,58.6,Metropolitan
East Gippsland,2006,33.8,964,50.3,Regional
Frankston,2006,33.3,3390,51.8,Metropolitan
Gannawarra,2006,34.6,376,53.2,Regional
Glen Eira,2006,25.9,1199,62.9,Metropolitan
Glenelg,2006,38.2,523,51.1,Regional
Greater Bendigo,2006,36.3,2390,48.8,Regional
Greater Dandenong,2006,31.9,2916,58.9,Metropolitan
Greater Geelong,2006,33.3,4908,53.7,Metropolitan
Greater Shepparton,2006,34.5,1542,54.1,Regional
Hepburn,2006,28.4,250,51.6,Regional
Hindmarsh,2006,23,239,64.9,Regional
Hobsons Bay,2006,30.2,1512,56.4,Metropolitan
Horsham,2006,39.6,477,56.2,Regional
Hume,2006,30.2,2470,47.3,Metropolitan
Indigo,2006,36,353,49.6,Regional
Kingston,2006,25.5,2243,56,Metropolitan
Knox,2006,31.2,2603,48.6,Metropolitan
Latrobe,2006,40.9,1550,44.7,Regional
Loddon,2006,32.5,237,58.2,Regional
Macedon Ranges,2006,32.4,960,42.3,Regional
Manningham,2006,28.4,1832,56.2,Metropolitan
Mansfield,2006,31.1,209,65.1,Regional
Maribyrnong,2006,29.9,1145,53.2,Metropolitan
Maroondah,2006,29.1,2390,57.6,Metropolitan
Melbourne,2006,20.7,547,71.1,Metropolitan
Melton,2006,31.9,1108,44.7,Metropolitan
Mildura,2006,34.3,1498,57.1,Regional
Mitchell,2006,37.1,809,49.3,Regional
Moira,2006,34.2,707,54.5,Regional
Monash,2006,26.3,3980,57.3,Metropolitan
Moonee Valley,2006,26.9,2379,59.4,Metropolitan
Moorabool,2006,36,394,39.3,Regional
Moreland,2006,31.1,1491,50.8,Metropolitan
Mornington Peninsula,2006,33.5,2576,51.8,Metropolitan
Mount Alexander,2006,27.2,470,48.7,Regional
Moyne,2006,31.2,141,70.2,Regional
Murrindindi,2006,31.7,268,50,Regional
Nillumbik,2006,25.6,855,61.4,Metropolitan
Northern Grampians,2006,31.2,394,62.9,Regional
Port Phillip,2006,20.2,480,54.6,Metropolitan
Pyrenees,2006,34.2,73,65.8,Regional
South Gippsland,2006,32.3,925,57.1,Regional
Southern Grampians,2006,34.8,356,53.9,Regional
Stonnington,2006,20.9,363,60.1,Metropolitan
Strathbogie,2006,34.2,202,54.5,Regional
Surf Coast,2006,37.5,48,56.3,Regional
Swan Hill,2006,33.5,662,55.9,Regional
Towong,2006,28.3,332,61.1,Regional
Wangaratta,2006,27.4,682,60.3,Regional
Warrnambool,2006,35.8,1011,51.2,Regional
Wellington,2006,35.6,845,53,Regional
West Wimmera,2006,26.8,153,61.4,Regional
Whitehorse,2006,28.7,2235,59.4,Metropolitan
Whittlesea,2006,30.5,2486,56.4,Metropolitan
Wodonga,2006,35.9,866,48.2,Metropolitan
Wyndham,2006,30.6,2273,47.6,Metropolitan
Yarra,2006,19.9,1164,60.7,Metropolitan
Yarra Ranges,2006,32.3,3355,53.4,Metropolitan
Yarriambiack,2006,33,270,57.8,Regional
Alpine,2007,29.6,304,55.3,Regional
Ararat,2007,41.6,269,48.3,Regional
Ballarat,2007,33,1668,51.3,Regional
Banyule,2007,28,2939,59.9,Metropolitan
Bass Coast,2007,31.5,492,62.8,Regional
Baw Baw,2007,31.9,1140,56.9,Regional
Bayside,2007,27.3,960,58.6,Metropolitan
Benalla,2007,34.5,371,51.5,Regional
Boroondara,2007,24.1,2426,62.9,Metropolitan
Brimbank,2007,27,3552,54.6,Metropolitan
Buloke,2007,26.1,303,62.7,Regional
Campaspe,2007,34.3,1169,53.1,Regional
Cardinia,2007,27.6,1313,46.4,Metropolitan
Casey,2007,29.7,5292,46.7,Metropolitan
Central Goldfields,2007,39.7,365,43.3,Regional
Colac Otway,2007,37,516,51.4,Regional
Corangamite,2007,19.7,466,57.9,Regional
Darebin,2007,25.4,1595,61.3,Metropolitan
East Gippsland,2007,32.2,902,47.5,Regional
Frankston,2007,34.3,3556,50.5,Metropolitan
Gannawarra,2007,31.8,336,53.9,Regional
Glen Eira,2007,23.1,1181,62.7,Metropolitan
Glenelg,2007,35.6,598,48,Regional
Greater Bendigo,2007,31.2,2362,53.6,Regional
Greater Dandenong,2007,30,3035,58.4,Metropolitan
Greater Geelong,2007,31.3,4533,52.7,Metropolitan
Greater Shepparton,2007,29.7,1594,57.5,Regional
Hepburn,2007,33.1,254,42.1,Regional
Hindmarsh,2007,27.4,252,74.6,Regional
Hobsons Bay,2007,30.4,1564,55,Metropolitan
Horsham,2007,34,521,51.2,Regional
Hume,2007,29.3,3040,52,Metropolitan
Indigo,2007,37.5,349,47.3,Regional
Kingston,2007,24.2,2180,56.5,Metropolitan
Knox,2007,31.2,2354,49.5,Metropolitan
Latrobe,2007,33.5,1503,51.6,Regional
Loddon,2007,29.9,231,62.8,Regional
Macedon Ranges,2007,29.3,898,43.9,Regional
Manningham,2007,26.4,1722,55.9,Metropolitan
Mansfield,2007,27.4,226,59.7,Regional
Maribyrnong,2007,26.1,1257,56.8,Metropolitan
Maroondah,2007,28.9,2336,57.4,Metropolitan
Melbourne,2007,24,533,69.2,Metropolitan
Melton,2007,32.8,1500,48.9,Metropolitan
Mildura,2007,34.9,1524,56.1,Regional
Mitchell,2007,32.1,794,50.1,Regional
Moira,2007,32,723,56.2,Regional
Monash,2007,23.6,4116,59,Metropolitan
Moonee Valley,2007,25.2,2491,59.8,Metropolitan
Moorabool,2007,30.8,403,45.2,Regional
Moreland,2007,28.6,1573,52.4,Metropolitan
Mornington Peninsula,2007,32.6,2757,50.4,Metropolitan
Mount Alexander,2007,26.6,440,46.8,Regional
Moyne,2007,29.3,147,63.3,Regional
Murrindindi,2007,31.4,315,49.5,Regional
Nillumbik,2007,27,864,65,Metropolitan
Northern Grampians,2007,27.3,363,48.5,Regional
Port Phillip,2007,15.8,462,57.4,Metropolitan
Pyrenees,2007,34.2,79,62,Regional
South Gippsland,2007,27.1,894,56.4,Regional
Southern Grampians,2007,32.7,370,53.8,Regional
Stonnington,2007,17.4,327,60.2,Metropolitan
Strathbogie,2007,34.1,179,43.6,Regional
Surf Coast,2007,30.8,39,59,Regional
Swan Hill,2007,33.4,667,54.9,Regional
Towong,2007,20.3,335,61.8,Regional
Wangaratta,2007,30.2,678,50.6,Regional
Warrnambool,2007,32.9,1074,55.7,Regional
Wellington,2007,32.6,906,57.4,Regional
West Wimmera,2007,29.1,179,58.1,Regional
Whitehorse,2007,24.9,2370,62.1,Metropolitan
Whittlesea,2007,30.5,2509,54.6,Metropolitan
Wodonga,2007,31.5,930,48.8,Metropolitan
Wyndham,2007,28.4,2375,46.9,Metropolitan
Yarra,2007,18.3,1232,61.3,Metropolitan
Yarra Ranges,2007,30.3,3476,55.3,Metropolitan
Yarriambiack,2007,35.8,302,54.6,Regional
Alpine,2008,32.9,283,53.7,Regional
Ararat,2008,30.3,251,54.6,Regional
Ballarat,2008,30.4,2134,52,Regional
Banyule,2008,25,2972,60.3,Metropolitan
Bass Coast,2008,27.3,539,60.5,Regional
Baw Baw,2008,28.5,1191,56.8,Regional
Bayside,2008,26.2,961,59.8,Metropolitan
Benalla,2008,35.3,326,39.6,Regional
Boroondara,2008,18.4,2509,66.7,Metropolitan
Brimbank,2008,22.4,3565,59,Metropolitan
