LGA,Year,Portion Bullied,Total Students
Alpine,2006,30,307
Ararat,2006,35.6,281
Ballarat,2006,33.9,1672
Banyule,2006,30,2823
Bass Coast,2006,28,489
Baw Baw,2006,39.4,1138
Bayside,2006,29.3,882
Benalla,2006,30.5,380
Boroondara,2006,26.8,2310
Brimbank,2006,29.5,3583
Buloke,2006,26.1,306
Campaspe,2006,32.6,1245
Cardinia,2006,33.4,1378
Casey,2006,31.8,5025
Central Goldfields,2006,35.4,342
Colac Otway,2006,38,529
Corangamite,2006,16.9,534
Darebin,2006,28.3,1680
East Gippsland,2006,33.8,964
Frankston,2006,33.3,3390
Gannawarra,2006,34.6,376
Glen Eira,2006,25.9,1199
Glenelg,2006,38.2,523
Greater Bendigo,2006,36.3,2390
Greater Dandenong,2006,31.9,2916
Greater Geelong,2006,33.3,4908
Greater Shepparton,2006,34.5,1542
Hepburn,2006,28.4,250
Hindmarsh,2006,23,239
Hobsons Bay,2006,30.2,1512
Horsham,2006,39.6,477
Hume,2006,30.2,2470
Indigo,2006,36,353
Kingston,2006,25.5,2243
Knox,2006,31.2,2603
Latrobe,2006,40.9,1550
Loddon,2006,32.5,237
Macedon Ranges,2006,32.4,960
Manningham,2006,28.4,1832
Mansfield,2006,31.1,209
Maribyrnong,2006,29.9,1145
Maroondah,2006,29.1,2390
Melbourne,2006,20.7,547
Melton,2006,31.9,1108
Mildura,2006,34.3,1498
Mitchell,2006,37.1,809
Moira,2006,34.2,707
Monash,2006,26.3,3980
Moonee Valley,2006,26.9,2379
Moorabool,2006,36,394
Moreland,2006,31.1,1491
Mornington Peninsula,2006,33.5,2576
Mount Alexander,2006,27.2,470
Moyne,2006,31.2,141
Murrindindi,2006,31.7,268
Nillumbik,2006,25.6,855
Northern Grampians,2006,31.2,394
Port Phillip,2006,20.2,480
Pyrenees,2006,34.2,73
South Gippsland,2006,32.3,925
Southern Grampians,2006,34.8,356
Stonnington,2006,20.9,363
Strathbogie,2006,34.2,202
Surf Coast,2006,37.5,48
Swan Hill,2006,33.5,662
Towong,2006,28.3,332
Wangaratta,2006,27.4,682
Warrnambool,2006,35.8,1011
Wellington,2006,35.6,845
West Wimmera,2006,26.8,153
Whitehorse,2006,28.7,2235
Whittlesea,2006,30.5,2486
Wodonga,2006,35.9,866
Wyndham,2006,30.6,2273
Yarra,2006,19.9,1164
Yarra Ranges,2006,32.3,3355
Yarriambiack,2006,33,270
Alpine,2007,29.6,304
Ararat,2007,41.6,269
Ballarat,2007,33,1668
Banyule,2007,28,2939
Bass Coast,2007,31.5,492
Baw Baw,2007,31.9,1140
Bayside,2007,27.3,960
Benalla,2007,34.5,371
Boroondara,2007,24.1,2426
Brimbank,2007,27,3552
Buloke,2007,26.1,303
Campaspe,2007,34.3,1169
Cardinia,2007,27.6,1313
Casey,2007,29.7,5292
Central Goldfields,2007,39.7,365
Colac Otway,2007,37,516
Corangamite,2007,19.7,466
Darebin,2007,25.4,1595
East Gippsland,2007,32.2,902
Frankston,2007,34.3,3556
Gannawarra,2007,31.8,336
Glen Eira,2007,23.1,1181
Glenelg,2007,35.6,598
Greater Bendigo,2007,31.2,2362
Greater Dandenong,2007,30,3035
Greater Geelong,2007,31.3,4533
Greater Shepparton,2007,29.7,1594
Hepburn,2007,33.1,254
Hindmarsh,2007,27.4,252
Hobsons Bay,2007,30.4,1564
Horsham,2007,34,521
Hume,2007,29.3,3040
Indigo,2007,37.5,349
Kingston,2007,24.2,2180
Knox,2007,31.2,2354
Latrobe,2007,33.5,1503
Loddon,2007,29.9,231
Macedon Ranges,2007,29.3,898
Manningham,2007,26.4,1722
Mansfield,2007,27.4,226
Maribyrnong,2007,26.1,1257
Maroondah,2007,28.9,2336
Melbourne,2007,24,533
Melton,2007,32.8,1500
Mildura,2007,34.9,1524
Mitchell,2007,32.1,794
Moira,2007,32,723
Monash,2007,23.6,4116
Moonee Valley,2007,25.2,2491
Moorabool,2007,30.8,403
Moreland,2007,28.6,1573
Mornington Peninsula,2007,32.6,2757
Mount Alexander,2007,26.6,440
Moyne,2007,29.3,147
Murrindindi,2007,31.4,315
Nillumbik,2007,27,864
Northern Grampians,2007,27.3,363
Port Phillip,2007,15.8,462
Pyrenees,2007,34.2,79
South Gippsland,2007,27.1,894
Southern Grampians,2007,32.7,370
Stonnington,2007,17.4,327
Strathbogie,2007,34.1,179
Surf Coast,2007,30.8,39
Swan Hill,2007,33.4,667
Towong,2007,20.3,335
Wangaratta,2007,30.2,678
Warrnambool,2007,32.9,1074
Wellington,2007,32.6,906
West Wimmera,2007,29.1,179
Whitehorse,2007,24.9,2370
Whittlesea,2007,30.5,2509
Wodonga,2007,31.5,930
Wyndham,2007,28.4,2375
Yarra,2007,18.3,1232
Yarra Ranges,2007,30.3,3476
Yarriambiack,2007,35.8,302
Alpine,2008,32.9,283
Ararat,2008,30.3,251
Ballarat,2008,30.4,2134
Banyule,2008,25,2972
Bass Coast,2008,27.3,539
Baw Baw,2008,28.5,1191
Bayside,2008,26.2,961
Benalla,2008,35.3,326
Boroondara,2008,18.4,2509
Brimbank,2008,22.4,3565
Buloke,2008,21.1,279
Campaspe,2008,24.3,1079
Cardinia,2008,29.7,981
Casey,2008,27.8,5488
Central Goldfields,2008,26.2,340
Colac Otway,2008,31.5,476
Corangamite,2008,25.7,505
Darebin,2008,22.3,1576
East Gippsland,2008,32.2,858
Frankston,2008,28.7,3237
Gannawarra,2008,28.7,338
Glen Eira,2008,20.9,1225
Glenelg,2008,30.3,604
Greater Bendigo,2008,27.8,2301
Greater Dandenong,2008,27,2994
Greater Geelong,2008,27.5,4813
Greater Shepparton,2008,28.7,1434
Hepburn,2008,39.3,229
Hindmarsh,2008,25.4,248
Hobsons Bay,2008,26.2,1525
Horsham,2008,32.8,466
Hume,2008,25.8,3070
Indigo,2008,26.3,327
Kingston,2008,20.2,2251
Knox,2008,24.3,2261
Latrobe,2008,34.1,1608
Loddon,2008,24.2,207
Macedon Ranges,2008,24.3,882
Manningham,2008,20.5,1674
Mansfield,2008,22.7,216
Maribyrnong,2008,22.2,1342
Maroondah,2008,24.9,2250
Melbourne,2008,14.8,433
Melton,2008,26.9,1790
Mildura,2008,32.1,1593
Mitchell,2008,31,873
Moira,2008,27.3,713
Monash,2008,21.9,4236
Moonee Valley,2008,22.4,2434
Moorabool,2008,27.1,299
Moreland,2008,22.3,1584
Mornington Peninsula,2008,27.7,2576
Mount Alexander,2008,25.7,393
Moyne,2008,21.5,130
Murrindindi,2008,34.4,323
Nillumbik,2008,18.7,924
Northern Grampians,2008,27.3,374
Port Phillip,2008,17.3,452
Pyrenees,2008,22.6,93
South Gippsland,2008,27.8,907
Southern Grampians,2008,22.9,362
Stonnington,2008,12.6,350
Strathbogie,2008,35.1,151
Surf Coast,2008,27,37
Swan Hill,2008,33.5,689
Towong,2008,25.6,313
Wangaratta,2008,29.7,619
Warrnambool,2008,32.8,1080
Wellington,2008,32.2,903
West Wimmera,2008,23.7,173
Whitehorse,2008,23.1,2327
Whittlesea,2008,24.7,2502
Wodonga,2008,31,827
Wyndham,2008,26.2,2618
Yarra,2008,17.2,1357
Yarra Ranges,2008,27.6,3500
Yarriambiack,2008,27.1,317
Alpine,2009,26,265
Ararat,2009,25.9,259
Ballarat,2009,29,2025
Banyule,2009,24.3,2816
Bass Coast,2009,27.2,544
Baw Baw,2009,29.5,1185
Bayside,2009,20.5,973
Benalla,2009,33.7,267
Boroondara,2009,17.6,2527
Brimbank,2009,22.3,3561
Buloke,2009,20.4,275
Campaspe,2009,27.4,1145
Cardinia,2009,27.3,1354
Casey,2009,23.6,5296
Central Goldfields,2009,30.4,319
Colac Otway,2009,33.4,443
Corangamite,2009,12.2,477
Darebin,2009,18.2,1617
East Gippsland,2009,32.7,820
Frankston,2009,26.2,3326
Gannawarra,2009,24.7,292
Glen Eira,2009,18.5,1233
Glenelg,2009,31.6,550
Greater Bendigo,2009,26.8,2281
Greater Dandenong,2009,24.9,2902
Greater Geelong,2009,28,4672
Greater Shepparton,2009,26.1,1507
Hepburn,2009,28.6,224
Hindmarsh,2009,23.8,240
Hobsons Bay,2009,19.8,1456
Horsham,2009,32.7,440
Hume,2009,25.5,3030
Indigo,2009,20.7,334
Kingston,2009,21.4,2140
Knox,2009,26.8,2250
Latrobe,2009,34.8,1520
Loddon,2009,18.3,191
Macedon Ranges,2009,28,856
Manningham,2009,21.8,1866
Mansfield,2009,22.7,216
Maribyrnong,2009,24.7,1363
Maroondah,2009,22.8,2163
Melbourne,2009,12.1,659
Melton,2009,25.8,1879
Mildura,2009,25.8,1626
Mitchell,2009,28.5,849
Moira,2009,23,696
Monash,2009,22,4196
Moonee Valley,2009,22.5,2361
Moorabool,2009,33.5,370
Moreland,2009,23.9,1591
Mornington Peninsula,2009,28.4,2563
Mount Alexander,2009,23.7,367
Moyne,2009,21,119
Murrindindi,2009,28.8,312
Nillumbik,2009,17.4,1019
Northern Grampians,2009,25.6,336
Port Phillip,2009,12.8,423
Pyrenees,2009,11.5,78
South Gippsland,2009,25,816
Southern Grampians,2009,9.5,338
Stonnington,2009,12.5,344
Strathbogie,2009,26.7,172
Surf Coast,2009,21.5,79
Swan Hill,2009,29.9,676
Towong,2009,17.7,316
Wangaratta,2009,28,540
Warrnambool,2009,31.8,974
Wellington,2009,28.7,844
West Wimmera,2009,24.2,161
Whitehorse,2009,19.2,2371
Whittlesea,2009,23.7,2734
Wodonga,2009,30.2,843
Wyndham,2009,25.2,2765
Yarra,2009,16.4,1331
Yarra Ranges,2009,24.9,3392
Yarriambiack,2009,25.1,303
Alpine,2010,26.2,263
Ararat,2010,28.3,219
Ballarat,2010,26.5,1979
Banyule,2010,21.1,2431
Bass Coast,2010,23.9,490
Baw Baw,2010,26,1134
Bayside,2010,14.9,961
Benalla,2010,30.3,201
Boroondara,2010,17.5,2466
Brimbank,2010,19.1,3309
Buloke,2010,18.3,262
Campaspe,2010,24.2,1002
Cardinia,2010,26.6,1425
Casey,2010,22.1,5649
Central Goldfields,2010,34,303
Colac Otway,2010,35.5,383
Corangamite,2010,13.2,447
Darebin,2010,18.8,1717
East Gippsland,2010,24.7,790
Frankston,2010,22.8,3254
Gannawarra,2010,19.1,293
Glen Eira,2010,16.7,1276
Glenelg,2010,29.3,502
Greater Bendigo,2010,27.3,2155
Greater Dandenong,2010,22.2,2940
Greater Geelong,2010,25.7,4487
Greater Shepparton,2010,25.8,1439
Hepburn,2010,29.6,216
Hindmarsh,2010,15.8,228
