LGA,Year,Portion Bullied,Total Students
Alpine,2016,14.8,196
Ararat,2016,21.28,188
Ballarat,2016,17.36,1440
Banyule,2016,11.35,1806
Bass Coast,2016,13.66,454
Baw Baw,2016,16.45,699
Bayside,2016,13.42,1453
Benalla,2016,31.13,151
Boroondara,2016,12.81,2467
Brimbank,2016,12.15,2659
Buloke,2016,13.91,115
Campaspe,2016,18.59,554
Cardinia,2016,14.09,1448
Casey,2016,15.56,5037
Central Goldfields,2016,30.3,198
Colac-Otway,2016,12.68,276
Corangamite,2016,13.83,282
Darebin,2016,15.72,1590
East Gippsland,2016,21.5,665
Frankston,2016,14.8,1784
Gannawarra,2016,13.53,133
Glen Eira,2016,11.78,1715
Glenelg,2016,10.51,276
Golden Plains,2016,15.2,454
Greater Bendigo,2016,16.8,1601
Greater Dandenong,2016,16.96,2016
Greater Geelong,2016,14.62,3440
Greater Shepparton,2016,12,1058
Hepburn,2016,13.08,214
Hindmarsh,2016,12.79,86
Hobsons Bay,2016,14.66,1323
Horsham,2016,15.03,326
Hume,2016,16.34,3317
Indigo,2016,15.68,287
Kingston,2016,11.32,1900
Knox,2016,19.91,2205
Latrobe,2016,15.77,1110
Loddon,2016,13.18,129
Macedon Ranges,2016,10,740
Manningham,2016,10.96,1661
Maribyrnong,2016,13.26,754
Maroondah,2016,12.16,1579
Melbourne,2016,15.76,311
Melton,2016,15.49,2453
Mildura,2016,17.71,926
Mitchell,2016,25.82,674
Moira,2016,25.51,345
Monash,2016,12.72,2932
Moonee Valley,2016,14.2,1430
Moorabool,2016,11.24,534
Moreland,2016,13.37,1354
Mornington Peninsula,2016,13.52,2662
Mount Alexander,2016,14.71,306
Moyne,2016,14.11,241
Murrindindi,2016,10.16,187
Nillumbik,2016,11.05,1186
Northern Grampians,2016,14.21,183
Port Phillip,2016,15.36,716
Pyrenees,2016,19.44,108
South Gippsland,2016,14.53,523
Southern Grampians,2016,19.44,252
Stonnington,2016,14.07,604
Strathbogie,2016,17.21,122
Surf Coast,2016,16.67,564
Swan Hill,2016,24.84,314
Towong,2016,22.67,75
Wangaratta,2016,12.67,371
Warrnambool,2016,12.47,449
Wellington,2016,10.49,648
West Wimmera,2016,23.73,59
Whitehorse,2016,9.34,2451
Whittlesea,2016,18.4,2799
Wodonga,2016,24.09,220
Wyndham,2016,16.23,3154
Yarra,2016,15.49,975
Yarra Ranges,2016,16.2,2642
Yarriambiack,2016,22.22,117
